estuary,historic_ha,current_ha,percent_loss,admix,stat,delta,historic,modern
humboldt,3777.1,532.3,85.9,0.639,pi,4.94E-07,0.000362362,0.000362855
suisun,25539.7,3262.5,87.2,0.481,pi,3.35E-05,0.000291993,0.000325502
sanpablo,25016.2,6185,75.3,0.4785,pi,-3.38E-05,0.000348234,0.000314409
sfbay,25182.4,3480.9,86.2,0.4492,pi,3.59E-06,0.000304823,0.000308416
morro,211.3,207.2,2,0.172992374,pi,-3.78E-05,0.00025614,0.000218312
newport,279.4,162.3,41.9,0,pi,-2.49E-05,0.000254719,0.000229837
humboldt,3777.1,532.3,85.9,0.639,theta,-7.38E-05,0.000544305,0.000470545
suisun,25539.7,3262.5,87.2,0.481,theta,0.000119679,0.000405596,0.000525274
sanpablo,25016.2,6185,75.3,0.4785,theta,-0.000125989,0.000572537,0.000446548
sfbay,25182.4,3480.9,86.2,0.4492,theta,-0.000159182,0.000588228,0.000429046
morro,211.3,207.2,2,0.172992374,theta,-7.08E-05,0.000302342,0.000231527
newport,279.4,162.3,41.9,0,theta,-6.72E-05,0.000302758,0.000235524
humboldt,3777.1,532.3,85.9,0.639,tajd,0.3082418,-0.9644712,-0.7811177
suisun,25539.7,3262.5,87.2,0.481,tajd,-0.04252963,-0.9649948,-1.01163
sanpablo,25016.2,6185,75.3,0.4785,tajd,0.0733772,-1.11085,-0.9312786
sfbay,25182.4,3480.9,86.2,0.4492,tajd,0.2329564,-1.190068,-0.7305586
morro,211.3,207.2,2,0.172992374,tajd,0.1363599,-0.6166244,-0.5130248
newport,279.4,162.3,41.9,0,tajd,0.006938233,-0.3044692,-0.1658705
