SampID,Population,Time,Pop_Time
tsk_0,Newport,Mod,Newport_Mod
tsk_1,Newport,Mod,Newport_Mod
tsk_2,Newport,Mod,Newport_Mod
tsk_3,Newport,Mod,Newport_Mod
tsk_4,Newport,Mod,Newport_Mod
tsk_5,Newport,Mod,Newport_Mod
tsk_6,Newport,Mod,Newport_Mod
tsk_7,Newport,Mod,Newport_Mod
tsk_8,Newport,Mod,Newport_Mod
tsk_9,Newport,Mod,Newport_Mod
tsk_10,Newport,Mod,Newport_Mod
tsk_11,Newport,Mod,Newport_Mod
tsk_12,Newport,Mod,Newport_Mod
tsk_13,Newport,Mod,Newport_Mod
tsk_14,Newport,Mod,Newport_Mod
tsk_15,Newport,Mod,Newport_Mod
tsk_16,Newport,Mod,Newport_Mod
tsk_17,Newport,Mod,Newport_Mod
tsk_18,Newport,Mod,Newport_Mod
tsk_19,Newport,Mod,Newport_Mod
tsk_20,Newport,Mod,Newport_Mod
tsk_21,Newport,Mod,Newport_Mod
tsk_22,Newport,Mod,Newport_Mod
tsk_23,Newport,Mod,Newport_Mod
tsk_24,Newport,Mod,Newport_Mod
tsk_25,BayArea,Mod,BayArea_Mod
tsk_26,BayArea,Mod,BayArea_Mod
tsk_27,BayArea,Mod,BayArea_Mod
tsk_28,BayArea,Mod,BayArea_Mod
tsk_29,BayArea,Mod,BayArea_Mod
tsk_30,BayArea,Mod,BayArea_Mod
tsk_31,BayArea,Mod,BayArea_Mod
tsk_32,BayArea,Mod,BayArea_Mod
tsk_33,BayArea,Mod,BayArea_Mod
tsk_34,BayArea,Mod,BayArea_Mod
tsk_35,BayArea,Mod,BayArea_Mod
tsk_36,BayArea,Mod,BayArea_Mod
tsk_37,BayArea,Mod,BayArea_Mod
tsk_38,BayArea,Mod,BayArea_Mod
tsk_39,BayArea,Mod,BayArea_Mod
tsk_40,BayArea,Mod,BayArea_Mod
tsk_41,BayArea,Mod,BayArea_Mod
tsk_42,BayArea,Mod,BayArea_Mod
tsk_43,BayArea,Mod,BayArea_Mod
tsk_44,BayArea,Mod,BayArea_Mod
tsk_45,BayArea,Mod,BayArea_Mod
tsk_46,BayArea,Mod,BayArea_Mod
tsk_47,BayArea,Mod,BayArea_Mod
tsk_48,BayArea,Mod,BayArea_Mod
tsk_49,BayArea,Mod,BayArea_Mod
tsk_50,EastCal,Mod,EastCal_Mod
tsk_51,EastCal,Mod,EastCal_Mod
tsk_52,EastCal,Mod,EastCal_Mod
tsk_53,EastCal,Mod,EastCal_Mod
tsk_54,EastCal,Mod,EastCal_Mod
tsk_55,EastCal,Mod,EastCal_Mod
tsk_56,EastCal,Mod,EastCal_Mod
tsk_57,EastCal,Mod,EastCal_Mod
tsk_58,EastCal,Mod,EastCal_Mod
tsk_59,EastCal,Mod,EastCal_Mod
tsk_60,EastCal,Mod,EastCal_Mod
tsk_61,EastCal,Mod,EastCal_Mod
tsk_62,EastCal,Mod,EastCal_Mod
tsk_63,EastCal,Mod,EastCal_Mod
tsk_64,EastCal,Mod,EastCal_Mod
tsk_65,EastCal,Mod,EastCal_Mod
tsk_66,EastCal,Mod,EastCal_Mod
tsk_67,EastCal,Mod,EastCal_Mod
tsk_68,EastCal,Mod,EastCal_Mod
tsk_69,EastCal,Mod,EastCal_Mod
tsk_70,EastCal,Mod,EastCal_Mod
tsk_71,EastCal,Mod,EastCal_Mod
tsk_72,EastCal,Mod,EastCal_Mod
tsk_73,EastCal,Mod,EastCal_Mod
tsk_74,EastCal,Mod,EastCal_Mod
tsk_75,Newport,Hist,Newport_Hist
tsk_76,Newport,Hist,Newport_Hist
tsk_77,Newport,Hist,Newport_Hist
tsk_78,Newport,Hist,Newport_Hist
tsk_79,Newport,Hist,Newport_Hist
tsk_80,Newport,Hist,Newport_Hist
tsk_81,Newport,Hist,Newport_Hist
tsk_82,Newport,Hist,Newport_Hist
tsk_83,Newport,Hist,Newport_Hist
tsk_84,Newport,Hist,Newport_Hist
tsk_85,Newport,Hist,Newport_Hist
tsk_86,Newport,Hist,Newport_Hist
tsk_87,Newport,Hist,Newport_Hist
tsk_88,Newport,Hist,Newport_Hist
tsk_89,Newport,Hist,Newport_Hist
tsk_90,Newport,Hist,Newport_Hist
tsk_91,Newport,Hist,Newport_Hist
tsk_92,Newport,Hist,Newport_Hist
tsk_93,Newport,Hist,Newport_Hist
tsk_94,Newport,Hist,Newport_Hist
tsk_95,Newport,Hist,Newport_Hist
tsk_96,Newport,Hist,Newport_Hist
tsk_97,Newport,Hist,Newport_Hist
tsk_98,Newport,Hist,Newport_Hist
tsk_99,Newport,Hist,Newport_Hist
tsk_100,BayArea,Hist,BayArea_Hist
tsk_101,BayArea,Hist,BayArea_Hist
tsk_102,BayArea,Hist,BayArea_Hist
tsk_103,BayArea,Hist,BayArea_Hist
tsk_104,BayArea,Hist,BayArea_Hist
tsk_105,BayArea,Hist,BayArea_Hist
tsk_106,BayArea,Hist,BayArea_Hist
tsk_107,BayArea,Hist,BayArea_Hist
tsk_108,BayArea,Hist,BayArea_Hist
tsk_109,BayArea,Hist,BayArea_Hist
tsk_110,BayArea,Hist,BayArea_Hist
tsk_111,BayArea,Hist,BayArea_Hist
tsk_112,BayArea,Hist,BayArea_Hist
tsk_113,BayArea,Hist,BayArea_Hist
tsk_114,BayArea,Hist,BayArea_Hist
tsk_115,BayArea,Hist,BayArea_Hist
tsk_116,BayArea,Hist,BayArea_Hist
tsk_117,BayArea,Hist,BayArea_Hist
tsk_118,BayArea,Hist,BayArea_Hist
tsk_119,BayArea,Hist,BayArea_Hist
tsk_120,BayArea,Hist,BayArea_Hist
tsk_121,BayArea,Hist,BayArea_Hist
tsk_122,BayArea,Hist,BayArea_Hist
tsk_123,BayArea,Hist,BayArea_Hist
tsk_124,BayArea,Hist,BayArea_Hist
tsk_125,EastCal,Hist,EastCal_Hist
tsk_126,EastCal,Hist,EastCal_Hist
tsk_127,EastCal,Hist,EastCal_Hist
tsk_128,EastCal,Hist,EastCal_Hist
tsk_129,EastCal,Hist,EastCal_Hist
tsk_130,EastCal,Hist,EastCal_Hist
tsk_131,EastCal,Hist,EastCal_Hist
tsk_132,EastCal,Hist,EastCal_Hist
tsk_133,EastCal,Hist,EastCal_Hist
tsk_134,EastCal,Hist,EastCal_Hist
tsk_135,EastCal,Hist,EastCal_Hist
tsk_136,EastCal,Hist,EastCal_Hist
tsk_137,EastCal,Hist,EastCal_Hist
tsk_138,EastCal,Hist,EastCal_Hist
tsk_139,EastCal,Hist,EastCal_Hist
tsk_140,EastCal,Hist,EastCal_Hist
tsk_141,EastCal,Hist,EastCal_Hist
tsk_142,EastCal,Hist,EastCal_Hist
tsk_143,EastCal,Hist,EastCal_Hist
tsk_144,EastCal,Hist,EastCal_Hist
tsk_145,EastCal,Hist,EastCal_Hist
tsk_146,EastCal,Hist,EastCal_Hist
tsk_147,EastCal,Hist,EastCal_Hist
tsk_148,EastCal,Hist,EastCal_Hist
tsk_149,EastCal,Hist,EastCal_Hist
